image_path,mask_path,label,split
benign/benign (1).png,benign/benign (1)_mask.png,Benign,train
benign/benign (10).png,benign/benign (10)_mask.png,Benign,val
benign/benign (100).png,benign/benign (100)_mask.png,Benign,train
benign/benign (101).png,benign/benign (101)_mask.png,Benign,train
benign/benign (102).png,benign/benign (102)_mask.png,Benign,val
benign/benign (103).png,benign/benign (103)_mask.png,Benign,train
benign/benign (104).png,benign/benign (104)_mask.png,Benign,train
benign/benign (105).png,benign/benign (105)_mask.png,Benign,train
benign/benign (106).png,benign/benign (106)_mask.png,Benign,val
benign/benign (107).png,benign/benign (107)_mask.png,Benign,train
benign/benign (108).png,benign/benign (108)_mask.png,Benign,train
benign/benign (109).png,benign/benign (109)_mask.png,Benign,train
benign/benign (11).png,benign/benign (11)_mask.png,Benign,train
benign/benign (110).png,benign/benign (110)_mask.png,Benign,test
benign/benign (111).png,benign/benign (111)_mask.png,Benign,test
benign/benign (112).png,benign/benign (112)_mask.png,Benign,train
benign/benign (113).png,benign/benign (113)_mask.png,Benign,train
benign/benign (114).png,benign/benign (114)_mask.png,Benign,train
benign/benign (115).png,benign/benign (115)_mask.png,Benign,train
benign/benign (116).png,benign/benign (116)_mask.png,Benign,train
benign/benign (117).png,benign/benign (117)_mask.png,Benign,val
benign/benign (118).png,benign/benign (118)_mask.png,Benign,val
benign/benign (119).png,benign/benign (119)_mask.png,Benign,train
benign/benign (12).png,benign/benign (12)_mask.png,Benign,train
benign/benign (120).png,benign/benign (120)_mask.png,Benign,train
benign/benign (121).png,benign/benign (121)_mask.png,Benign,train
benign/benign (122).png,benign/benign (122)_mask.png,Benign,train
benign/benign (123).png,benign/benign (123)_mask.png,Benign,val
benign/benign (124).png,benign/benign (124)_mask.png,Benign,train
benign/benign (125).png,benign/benign (125)_mask.png,Benign,train
benign/benign (126).png,benign/benign (126)_mask.png,Benign,train
benign/benign (127).png,benign/benign (127)_mask.png,Benign,train
benign/benign (128).png,benign/benign (128)_mask.png,Benign,test
benign/benign (129).png,benign/benign (129)_mask.png,Benign,train
benign/benign (13).png,benign/benign (13)_mask.png,Benign,test
benign/benign (130).png,benign/benign (130)_mask.png,Benign,train
benign/benign (131).png,benign/benign (131)_mask.png,Benign,train
benign/benign (132).png,benign/benign (132)_mask.png,Benign,train
benign/benign (133).png,benign/benign (133)_mask.png,Benign,train
benign/benign (134).png,benign/benign (134)_mask.png,Benign,train
benign/benign (135).png,benign/benign (135)_mask.png,Benign,test
benign/benign (136).png,benign/benign (136)_mask.png,Benign,train
benign/benign (137).png,benign/benign (137)_mask.png,Benign,train
benign/benign (138).png,benign/benign (138)_mask.png,Benign,test
benign/benign (139).png,benign/benign (139)_mask.png,Benign,train
benign/benign (14).png,benign/benign (14)_mask.png,Benign,train
benign/benign (140).png,benign/benign (140)_mask.png,Benign,train
benign/benign (141).png,benign/benign (141)_mask.png,Benign,val
benign/benign (142).png,benign/benign (142)_mask.png,Benign,test
benign/benign (143).png,benign/benign (143)_mask.png,Benign,val
benign/benign (144).png,benign/benign (144)_mask.png,Benign,val
benign/benign (145).png,benign/benign (145)_mask.png,Benign,train
benign/benign (146).png,benign/benign (146)_mask.png,Benign,test
benign/benign (147).png,benign/benign (147)_mask.png,Benign,test
benign/benign (148).png,benign/benign (148)_mask.png,Benign,test
benign/benign (149).png,benign/benign (149)_mask.png,Benign,train
benign/benign (15).png,benign/benign (15)_mask.png,Benign,train
benign/benign (150).png,benign/benign (150)_mask.png,Benign,train
benign/benign (151).png,benign/benign (151)_mask.png,Benign,test
benign/benign (152).png,benign/benign (152)_mask.png,Benign,train
benign/benign (153).png,benign/benign (153)_mask.png,Benign,train
benign/benign (154).png,benign/benign (154)_mask.png,Benign,val
benign/benign (155).png,benign/benign (155)_mask.png,Benign,test
benign/benign (156).png,benign/benign (156)_mask.png,Benign,train
benign/benign (157).png,benign/benign (157)_mask.png,Benign,val
benign/benign (158).png,benign/benign (158)_mask.png,Benign,train
benign/benign (159).png,benign/benign (159)_mask.png,Benign,train
benign/benign (16).png,benign/benign (16)_mask.png,Benign,train
benign/benign (160).png,benign/benign (160)_mask.png,Benign,train
benign/benign (161).png,benign/benign (161)_mask.png,Benign,train
benign/benign (162).png,benign/benign (162)_mask.png,Benign,train
benign/benign (163).png,benign/benign (163)_mask.png,Benign,val
benign/benign (164).png,benign/benign (164)_mask.png,Benign,train
benign/benign (165).png,benign/benign (165)_mask.png,Benign,train
benign/benign (166).png,benign/benign (166)_mask.png,Benign,train
benign/benign (167).png,benign/benign (167)_mask.png,Benign,train
benign/benign (168).png,benign/benign (168)_mask.png,Benign,train
benign/benign (169).png,benign/benign (169)_mask.png,Benign,train
benign/benign (17).png,benign/benign (17)_mask.png,Benign,train
benign/benign (170).png,benign/benign (170)_mask.png,Benign,train
benign/benign (171).png,benign/benign (171)_mask.png,Benign,test
benign/benign (172).png,benign/benign (172)_mask.png,Benign,train
benign/benign (173).png,benign/benign (173)_mask.png,Benign,train
benign/benign (174).png,benign/benign (174)_mask.png,Benign,train
benign/benign (175).png,benign/benign (175)_mask.png,Benign,train
benign/benign (176).png,benign/benign (176)_mask.png,Benign,train
benign/benign (177).png,benign/benign (177)_mask.png,Benign,train
benign/benign (178).png,benign/benign (178)_mask.png,Benign,val
benign/benign (179).png,benign/benign (179)_mask.png,Benign,test
benign/benign (18).png,benign/benign (18)_mask.png,Benign,train
benign/benign (180).png,benign/benign (180)_mask.png,Benign,train
benign/benign (181).png,benign/benign (181)_mask.png,Benign,test
benign/benign (182).png,benign/benign (182)_mask.png,Benign,train
benign/benign (183).png,benign/benign (183)_mask.png,Benign,train
benign/benign (184).png,benign/benign (184)_mask.png,Benign,train
benign/benign (185).png,benign/benign (185)_mask.png,Benign,train
benign/benign (186).png,benign/benign (186)_mask.png,Benign,train
benign/benign (187).png,benign/benign (187)_mask.png,Benign,train
benign/benign (188).png,benign/benign (188)_mask.png,Benign,test
benign/benign (189).png,benign/benign (189)_mask.png,Benign,test
benign/benign (19).png,benign/benign (19)_mask.png,Benign,test
benign/benign (190).png,benign/benign (190)_mask.png,Benign,train
benign/benign (191).png,benign/benign (191)_mask.png,Benign,test
benign/benign (192).png,benign/benign (192)_mask.png,Benign,train
benign/benign (193).png,benign/benign (193)_mask.png,Benign,train
benign/benign (194).png,benign/benign (194)_mask.png,Benign,test
benign/benign (195).png,benign/benign (195)_mask.png,Benign,test
benign/benign (196).png,benign/benign (196)_mask.png,Benign,train
benign/benign (197).png,benign/benign (197)_mask.png,Benign,train
benign/benign (198).png,benign/benign (198)_mask.png,Benign,train
benign/benign (199).png,benign/benign (199)_mask.png,Benign,train
benign/benign (2).png,benign/benign (2)_mask.png,Benign,train
benign/benign (20).png,benign/benign (20)_mask.png,Benign,train
benign/benign (200).png,benign/benign (200)_mask.png,Benign,train
benign/benign (201).png,benign/benign (201)_mask.png,Benign,train
benign/benign (202).png,benign/benign (202)_mask.png,Benign,train
benign/benign (203).png,benign/benign (203)_mask.png,Benign,train
benign/benign (204).png,benign/benign (204)_mask.png,Benign,train
benign/benign (205).png,benign/benign (205)_mask.png,Benign,train
benign/benign (206).png,benign/benign (206)_mask.png,Benign,train
benign/benign (207).png,benign/benign (207)_mask.png,Benign,train
benign/benign (208).png,benign/benign (208)_mask.png,Benign,val
benign/benign (209).png,benign/benign (209)_mask.png,Benign,train
benign/benign (21).png,benign/benign (21)_mask.png,Benign,train
benign/benign (210).png,benign/benign (210)_mask.png,Benign,train
benign/benign (211).png,benign/benign (211)_mask.png,Benign,train
benign/benign (212).png,benign/benign (212)_mask.png,Benign,train
